"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6605","Add todo item in list","chromium","Sun Jan 04 21:57:18 UTC 2026","passed","Sun Jan 04 21:57:24 UTC 2026","","todomvc.ADDtodoitem.spec.ts","",""
"","30276","IAT-4 run test with external dataset","chromium","Fri Jan 09 22:18:06 UTC 2026","broken","Fri Jan 09 22:18:36 UTC 2026","","demoblaze/demoblaze_getDatasetJson.spec.ts","",""
"","0","Remove all todo items from the list","chromium","Sun Jan 04 18:34:13 UTC 2026","skipped","Sun Jan 04 18:34:13 UTC 2026","","todomvc.REMOVEALLtodoitems.spec.ts","",""
"","1688","IAT-1 run test with external dataset","chromium","Fri Jan 09 22:13:54 UTC 2026","passed","Fri Jan 09 22:13:55 UTC 2026","","demoblaze/demoblaze_getDatasetJson.spec.ts","",""
"","3","demoblaze site tests","chromium","Sun Jan 04 18:34:13 UTC 2026","skipped","Sun Jan 04 18:34:13 UTC 2026","","demoblaze.spec.ts","",""
"","1415","demoblaze site tests","chromium","Fri Jan 09 22:18:37 UTC 2026","passed","Fri Jan 09 22:18:38 UTC 2026","","demoblaze/demoblaze_hardcodedData.spec.ts","",""
"","4355","Add todo item in list","chromium","Fri Jan 09 22:18:38 UTC 2026","passed","Fri Jan 09 22:18:43 UTC 2026","","todomvc/todomvc.ADDtodoitem.spec.ts","",""
"","30278","IAT-2 run test with external dataset","chromium","Fri Jan 09 22:14:59 UTC 2026","broken","Fri Jan 09 22:15:29 UTC 2026","","demoblaze/demoblaze_getDatasetJson.spec.ts","",""
"","30260","IAT-3 run test with external dataset","chromium","Fri Jan 09 22:16:32 UTC 2026","broken","Fri Jan 09 22:17:02 UTC 2026","","demoblaze/demoblaze_getDatasetJson.spec.ts","",""
"","83","Remove all todo items from the list","chromium","Fri Jan 09 22:18:43 UTC 2026","passed","Fri Jan 09 22:18:43 UTC 2026","","todomvc/todomvc.REMOVEALLtodoitems.spec.ts","",""
